"Species","Type","Parameter","Mean","SD","Q2.5","Q50","Q97.5","Rhat","ESS"
"Pterocles orientalis","beta","bio2",1.50145095430814,0.627880058637746,0.323117874848384,1.4872407828097,2.72930021564108,1.12880475202816,120.664065056027
"Pterocles orientalis","beta","tree_cover",-2.96637033284497,0.524696472486824,-4.03240422845176,-2.97148275927393,-1.93125201515112,1.03156378124537,198.764200835688
"Pterocles orientalis","beta","grass_cover",0.0728645740012564,0.292272228183024,-0.516741865464391,0.0806519495064472,0.603805903931529,1.02514387825083,333.8237016656
"Pterocles orientalis","beta","NDVI",-0.473820101025551,0.256517864880597,-0.978208588213831,-0.475784977665292,-0.000401776261478394,1.01261503745858,661.732417273673
"Pterocles orientalis","beta","tmmx",-0.0901218841868415,0.542505659212991,-1.15716743080232,-0.111237864258779,1.02101176221698,1.0285344972702,86.4625497197904
"Pterocles orientalis","alpha","(Intercept)",-1.10797117871001,0.0946623395703038,-1.28390209048028,-1.10734033325566,-0.923669894936382,1.04465805359672,1298.14553549087
"Pterocles orientalis","alpha","duration",0.504308478934921,0.0852864052626548,0.33283199798559,0.505929991192318,0.665046072047484,1.05260976855228,1500
"Pterocles orientalis","alpha","observers",-0.0326526690224141,0.0705928135107678,-0.173334064640099,-0.0299507424339671,0.100182218992083,1.00413404606659,1500
"Pterocles orientalis","theta","sigma.sq",34.3098455259789,36.0615481338896,8.79867153353537,17.4068305351819,144.806265912309,11.8568204355013,5.55454971307115
"Pterocles orientalis","theta","phi",1.686367098362e-05,1.08536514354513e-05,1.87600602341276e-06,1.74824076769841e-05,4.02589770723869e-05,5.81246933137405,14.6952412850823
"Pterocles orientalis","theta","sigma.sq.t",0.237019849443809,0.225893439311724,0.0722711223647376,0.182212545438797,0.753585169376116,1.46002462458314,119.504837560475
"Pterocles orientalis","theta","rho",0.116871843730541,0.407758020048136,-0.688441519532519,0.132692490786737,0.815357950766219,1.04602727778075,442.481275011381
"Tetrax tetrax","beta","(Intercept)",-8.58103578366276,0.917521590725032,-10.3782471524853,-8.59655189810006,-6.81767062639545,1.16311514696955,42.7388974257257
"Tetrax tetrax","beta","bio2",0.226146435851031,0.575658745579019,-0.840434352136198,0.211925245851172,1.40062028788104,1.00247807978801,428.848509824792
"Tetrax tetrax","beta","tree_cover",-3.03816212930253,0.539774982103467,-4.14388946013854,-3.02088634627416,-2.00420996617246,1.07055533819029,199.248309541527
"Tetrax tetrax","beta","grass_cover",0.0915021375805516,0.279066016322546,-0.439767796585097,0.104594292022123,0.604913241796977,1.03738244531929,501.534274475497
"Tetrax tetrax","beta","topo_elev",0.87370343056401,0.558551735620668,-0.238793578126069,0.87681790615993,1.94790572774865,1.01973945144951,386.097886568785
"Tetrax tetrax","beta","NDVI",0.729110920623353,0.288977662863401,0.181110256702437,0.722818822805771,1.31402315433834,1.01080145508226,762.053348804294
"Tetrax tetrax","beta","tmmx",1.40979910921502,0.631852692956739,0.201777348215517,1.40447596328462,2.64720590555696,1.03628959337314,396.223100465399
"Tetrax tetrax","alpha","(Intercept)",-0.329269862090907,0.0910384866666261,-0.507097952756321,-0.330917945563037,-0.151298140677052,1.00746049908691,1500
"Tetrax tetrax","alpha","duration",0.0685503091898795,0.072064863568749,-0.0814800325742384,0.0666021926253373,0.208947966716596,1.00043332305861,1500
"Tetrax tetrax","alpha","observers",0.115990017134928,0.0586974695293556,0.00451672625239874,0.112470770633816,0.237655577500597,1.00203376871732,1500
"Tetrax tetrax","theta","sigma.sq",11.168936742196,2.94090219054826,6.62884563101669,10.7547632078077,18.3346164943184,1.06334896163084,31.0207585540453
"Tetrax tetrax","theta","phi",7.24726610998838e-05,2.07675207655782e-05,3.923617377606e-05,7.01958708423604e-05,0.000117312463330763,1.31128663314956,43.6265821828713
"Tetrax tetrax","theta","sigma.sq.t",0.340588859868004,0.453663268514733,0.0781840162258425,0.222746998570268,1.41588840362659,1.84056060845614,107.805495472447
"Tetrax tetrax","theta","rho",0.228666552779452,0.392403435475661,-0.585979512966117,0.260658915411436,0.848451789165699,1.06659928695117,387.86653840061
