"species","scenario","label","sim","gamma_true","epsilon_true","psi1_true","p_true","converged","boundary","gamma_hat","epsilon_hat","psi1_hat","p_hat","aic","bias_gamma","bias_epsilon","bias_p","rel_bias_gamma","rel_bias_epsilon","ci_covers_gamma","ci_covers_epsilon","ratio_hat","ratio_true","regime_hat","regime_true","regime_correct","underest_10x","underest_100x"
"otitar","A","Empirical",21,4.54840009386186e-05,0.222390981652645,0.000307932595294111,0.208393851119266,TRUE,TRUE,4.82159080184784e-35,8.35339158133903e-18,0.00110783353293562,0.100375830118344,62.8996785138351,-4.54840009386186e-05,-0.222390981652645,-0.108018021000921,-1,-1,FALSE,FALSE,835.339158133903,4889.43314271682,"trap","trap",TRUE,TRUE,TRUE
"otitar","A","Empirical",22,4.54840009386186e-05,0.222390981652645,0.000307932595294111,0.208393851119266,TRUE,TRUE,0,1,1.1631169533469e-67,1.71385783978154e-279,8,-4.54840009386186e-05,0.777609018347355,-0.208393851119266,-1,3.49658521478138,FALSE,FALSE,1e+20,4889.43314271682,"trap","trap",TRUE,TRUE,TRUE
"otitar","A","Empirical",23,4.54840009386186e-05,0.222390981652645,0.000307932595294111,0.208393851119266,TRUE,TRUE,0,1,1.1631169533469e-67,1.71385783978154e-279,8,-4.54840009386186e-05,0.777609018347355,-0.208393851119266,-1,3.49658521478138,FALSE,FALSE,1e+20,4889.43314271682,"trap","trap",TRUE,TRUE,TRUE
"otitar","A","Empirical",24,4.54840009386186e-05,0.222390981652645,0.000307932595294111,0.208393851119266,TRUE,FALSE,1,1,1,5.60790515351984e-05,29.5774436701247,0.999954515999061,0.777609018347355,-0.20833777206773,21984.7527782025,3.49658521478138,FALSE,FALSE,1,4889.43314271682,"growth","trap",FALSE,FALSE,FALSE
"otitar","A","Empirical",25,4.54840009386186e-05,0.222390981652645,0.000307932595294111,0.208393851119266,TRUE,TRUE,1.16126317066125e-164,1,1,0.000583771045325505,24.891419111857,-4.54840009386186e-05,0.777609018347355,-0.20781008007394,-1,3.49658521478138,FALSE,FALSE,1e+20,4889.43314271682,"trap","trap",TRUE,TRUE,TRUE
"otitar","A","Empirical",26,4.54840009386186e-05,0.222390981652645,0.000307932595294111,0.208393851119266,TRUE,TRUE,0,1,1.1631169533469e-67,1.71385783978154e-279,8,-4.54840009386186e-05,0.777609018347355,-0.208393851119266,-1,3.49658521478138,FALSE,FALSE,1e+20,4889.43314271682,"trap","trap",TRUE,TRUE,TRUE
"otitar","A","Empirical",27,4.54840009386186e-05,0.222390981652645,0.000307932595294111,0.208393851119266,TRUE,TRUE,0,1,1.1631169533469e-67,1.71385783978154e-279,8,-4.54840009386186e-05,0.777609018347355,-0.208393851119266,-1,3.49658521478138,FALSE,FALSE,1e+20,4889.43314271682,"trap","trap",TRUE,TRUE,TRUE
"otitar","A","Empirical",28,4.54840009386186e-05,0.222390981652645,0.000307932595294111,0.208393851119266,TRUE,TRUE,4.98286669837804e-149,0,4.10321881220958e-14,2.92616517096457e-56,950.70049189141,-4.54840009386186e-05,-0.222390981652645,-0.208393851119266,-1,-1,FALSE,FALSE,0,4889.43314271682,"growth","trap",FALSE,TRUE,TRUE
"otitar","A","Empirical",29,4.54840009386186e-05,0.222390981652645,0.000307932595294111,0.208393851119266,TRUE,FALSE,0.0474973350954147,1,3.82757208050313e-14,0.00072820018277904,30.6404096988268,0.0474518510944761,0.777609018347355,-0.207665650936487,1043.26466703123,3.49658521478138,FALSE,FALSE,21.0538127663617,4889.43314271682,"asymmetric","trap",FALSE,FALSE,FALSE
"otitar","A","Empirical",30,4.54840009386186e-05,0.222390981652645,0.000307932595294111,0.208393851119266,TRUE,TRUE,0,1,1.1631169533469e-67,1.71385783978154e-279,8,-4.54840009386186e-05,0.777609018347355,-0.208393851119266,-1,3.49658521478138,FALSE,FALSE,1e+20,4889.43314271682,"trap","trap",TRUE,TRUE,TRUE
"otitar","A","Empirical",31,4.54840009386186e-05,0.222390981652645,0.000307932595294111,0.208393851119266,TRUE,TRUE,1.17233948981277e-164,1,1,0.000583772553277704,24.8914191118627,-4.54840009386186e-05,0.777609018347355,-0.207810078565988,-1,3.49658521478138,FALSE,FALSE,1e+20,4889.43314271682,"trap","trap",TRUE,TRUE,TRUE
